Name,Card Type,Attribute
Nemeses Flag,Monster Card,FIRE
Nemeses Corridor,Monster Card,WIND
Nemeses Adrastea,Spell Card,Quick-Play Spell Card
Nekroz of Unicore,Monster Card,WATER
Nekroz of Trishula,Monster Card,WATER
Nekroz of Sophia,Monster Card,LIGHT
Nekroz of Gungnir,Monster Card,WATER
Nekroz of Decisive Armor,Monster Card,WATER
Nekroz of Valkyrus,Monster Card,WATER
Nekroz Kaleidoscope,Spell Card,Ritual Spell Card
Nekroz Cycle,Spell Card,Ritual Spell Card
Necro Fleur,Monster Card,DARK
Necro Defender,Monster Card,DARK
Necklace of Command,Spell Card,Equip Spell Card
Nekroz of Areadbhair,Monster Card,WATER
Nekroz Mirror,Spell Card,Ritual Spell Card
Neck Hunter,Monster Card,DARK
Naturia Tulip,Monster Card,EARTH
"Nauya, the Ogdoadic Remnant",Monster Card,DARK
Naturia White Oak,Monster Card,EARTH
Naturia Strawberry,Monster Card,EARTH
Naturia Vein,Monster Card,EARTH
Naturia Sunflower,Monster Card,EARTH
Naturia Stinkbug,Monster Card,EARTH
Nebula Dragon,Monster Card,LIGHT
Naturia Ragweed,Monster Card,EARTH
Naturia Pumpkin,Monster Card,EARTH
Naturia Sacred Tree,Trap Card,Continuous Trap Card
Naturia Pineapple,Monster Card,EARTH
Naturia Rosewhip,Monster Card,EARTH
Naturia Rock,Monster Card,EARTH
Naturia Spiderfang,Monster Card,EARTH
Naturia Mosquito,Monster Card,EARTH
Naturia Mantis,Monster Card,EARTH
Naturia Leodrake,Monster Card,EARTH
Naturia Landoise,Monster Card,EARTH
Naturia Hydrangea,Monster Card,EARTH
Naturia Ladybug,Monster Card,EARTH
Naturia Marron,Monster Card,EARTH
Naturia Exterio,Monster Card,EARTH
Naturia Eggplant,Monster Card,EARTH
Naturia Cliff,Monster Card,EARTH
Naturia Butterfly,Monster Card,EARTH
Naturia Beetle,Monster Card,EARTH
Naturia Cherries,Monster Card,EARTH
Naturia Beast,Monster Card,EARTH
Naturia Dragonfly,Monster Card,EARTH
Naturia Cosmobeet,Monster Card,EARTH
Naturia Beans,Monster Card,EARTH
Nature's Reflection,Trap Card,Normal Trap Card
Natural Disaster,Trap Card,Continuous Trap Card
Narrow Pass,Trap Card,Continuous Trap Card
Naturia Barkion,Monster Card,EARTH
Nagel's Protection,Spell Card,Continuous Spell Card
Naturia Bamboo Shoot,Monster Card,EARTH
Natural Tune,Spell Card,Normal Spell Card
Naturia Antjaw,Monster Card,EARTH
Nadir Servant,Spell Card,Normal Spell Card
Myutant Ultimus,Monster Card,DARK
Myutant Mutant,Monster Card,WATER
Myutant ST-46,Monster Card,WATER
Myutant Mist,Monster Card,WIND
Naelshaddoll Ariel,Monster Card,WATER
Myutant M-05,Monster Card,WATER
Myutant Synthesis,Monster Card,WATER
Myutant GB-88,Monster Card,WATER
Mythical Beast Medusa,Monster Card,LIGHT
Myutant Fusion,Spell Card,Normal Spell Card
Myutant Expansion,Trap Card,Continuous Trap Card
Myutant Evolution Lab,Spell Card,Field Spell Card
Mythical Beast Master Cerberus,Monster Card,LIGHT
Myutant Cry,Trap Card,Normal Trap Card
Mythical Bestiamorph,Trap Card,Continuous Trap Card
Mythical Beast Jackal King,Monster Card,DARK
Mythical Beast Bashilisk,Monster Card,LIGHT
Mythical Beast Jackal,Monster Card,DARK
Mythical Beast Garuda,Monster Card,LIGHT
Mythic Water Dragon,Monster Card,WATER
Mythical Beast Cerberus,Monster Card,LIGHT
Mystrick Hulder,Monster Card,DARK
Mystik Wok,Spell Card,Quick-Play Spell Card
Mystical Wind Typhoon,Spell Card,Quick-Play Spell Card
Mystical Sheep 2,Monster Card,EARTH
Mystical Sheep 1,Monster Card,EARTH
Mystical Sand,Monster Card,EARTH
Mystical Space Typhoon,Spell Card,Quick-Play Spell Card
Mystical Refpanel,Trap Card,Normal Trap Card
Mystical Shine Ball,Monster Card,LIGHT
Mystical Moon,Spell Card,Equip Spell Card
Mystical Knight of Jackal,Monster Card,LIGHT
Mystical Fairy Elfuria,Monster Card,WIND
Mystical Elf,Monster Card,LIGHT
Mystic Plasma Zone,Spell Card,Field Spell Card
Mystical Cards of Light,Spell Card,Continuous Spell Card
Mystic Piper,Monster Card,LIGHT
Mystic Macrocarpa Seed,Monster Card,EARTH
Mystic Mine,Spell Card,Field Spell Card
Mystic Lamp,Monster Card,DARK
Mystic Clown,Monster Card,DARK
Mysterious Triangle,Spell Card,Quick-Play Spell Card
Mystic Box,Spell Card,Normal Spell Card
Mystery Shell Dragon,Monster Card,DARK
Mysterious Puppeteer,Monster Card,EARTH
Mystic Horseman,Monster Card,EARTH
Mysterious Guard,Monster Card,EARTH
Muzurhythm the String Djinn,Monster Card,WIND
Mutually Affured Destruction,Trap Card,Normal Trap Card
Mutant Mindmaster,Monster Card,DARK
"Musto, Oracle of Gusto",Monster Card,WIND
Mustering of the Dark Scorpions,Spell Card,Normal Spell Card
Musician King,Monster Card,LIGHT
Mushroom Man,Monster Card,EARTH
Mushroom Man 2,Monster Card,EARTH
Muscle Medic,Monster Card,WATER
Murmur of the Forest,Spell Card,Normal Spell Card
Multiplication of Ants,Spell Card,Normal Spell Card
Multiply,Spell Card,Quick-Play Spell Card
Multiple Piece Golem,Monster Card,EARTH
Muko,Trap Card,Normal Trap Card
Multiple Destruction,Trap Card,Normal Trap Card
Musakani Magatama,Trap Card,Counter Trap Card
Ms. Judge,Monster Card,LIGHT
Mozarta the Melodious Maestra,Monster Card,LIGHT
Mr. Volcano,Monster Card,FIRE
Mountain,Spell Card,Field Spell Card
Mount Sylvania,Spell Card,Field Spell Card
Moulinglacia the Elemental Lord,Monster Card,WATER
Motivating Captain,Monster Card,EARTH
Mound of the Bound Creator,Spell Card,Field Spell Card
Mother Spider,Monster Card,DARK
Mother Grizzly,Monster Card,WATER
Mosaic Manticore,Monster Card,EARTH
"Morphtronics, Scramble!",Trap Card,Normal Trap Card
Morphtronic Videon,Monster Card,LIGHT
Morphtronic Vacuumen,Monster Card,WIND
Morphtronic Staplen,Monster Card,EARTH
Morphtronic Smartfon,Monster Card,EARTH
Morphtronic Slingen,Monster Card,WIND
Morphtronic Scopen,Monster Card,LIGHT
Morphtronic Rusty Engine,Spell Card,Equip Spell Card
Morphtronic Repair Unit,Spell Card,Equip Spell Card
Morphtronic Remoten,Monster Card,EARTH
Morphtronic Radion,Monster Card,LIGHT
Morphtronic Map,Spell Card,Field Spell Card
Morphtronic Magnen Bar,Monster Card,EARTH
Morphtronic Magnen,Monster Card,EARTH
Morphtronic Lantron,Monster Card,LIGHT
Morphtronic Forcefield,Trap Card,Counter Trap Card
Morphtronic Engine,Spell Card,Equip Spell Card
Morphtronic Datatron,Monster Card,FIRE
Morphtronic Cord,Spell Card,Equip Spell Card
Morphtronic Clocken,Monster Card,EARTH
Morphtronic Celfon,Monster Card,EARTH
Moon Envoy,Monster Card,LIGHT
Moon Dragon Quilla,Monster Card,DARK
Montage Dragon,Monster Card,EARTH
Moon Dance Ritual,Trap Card,Continuous Trap Card
Monster Tamer,Monster Card,EARTH
Monster Slots,Spell Card,Normal Spell Card
Monster Reincarnation,Spell Card,Normal Spell Card
Monster Recovery,Spell Card,Quick-Play Spell Card
Monster Reborn Reborn,Spell Card,Normal Spell Card
Monster Rebone,Trap Card,Continuous Trap Card
Monster Gate,Spell Card,Normal Spell Card
Monster Eye,Monster Card,DARK
Monster Egg,Monster Card,EARTH
Monster Assortment,Trap Card,Normal Trap Card
Monster Reborn,Spell Card,Normal Spell Card
Monster Express,Monster Card,EARTH
Monoceros,Monster Card,LIGHT
Mono Synchron,Monster Card,DARK
Monk Fighter,Monster Card,EARTH
Monk of the Tenyi,Monster Card,EARTH
Molting Escape,Spell Card,Equip Spell Card
The Monarchs Stormforth,Spell Card,Quick-Play Spell Card
The Monarchs Erupt,Trap Card,Continuous Trap Card
The Monarchs Awaken,Trap Card,Normal Trap Card
Molten Zombie,Monster Card,FIRE
Molten Whirlwind Wall,Trap Card,Continuous Trap Card
Molten Destruction,Spell Card,Field Spell Card
Molten Conduction Field,Spell Card,Normal Spell Card
Molten Behemoth,Monster Card,FIRE
Mokey Mokey Smackdown,Spell Card,Continuous Spell Card
Mokey Mokey King,Monster Card,LIGHT
Mokey Mokey,Monster Card,LIGHT
Moja,Monster Card,EARTH
Moisture Creature,Monster Card,LIGHT
Mogmole,Monster Card,EARTH
Mobius the Mega Monarch,Monster Card,WATER
Mobius the Frost Monarch,Monster Card,WATER
Moai Interceptor Cannons,Monster Card,EARTH
Mixeroid,Monster Card,WIND
Mithra the Thunder Vassal,Monster Card,LIGHT
Mistar Boy,Monster Card,WATER
Mistaken Arrest,Spell Card,Quick-Play Spell Card
Mistaken Accusation,Spell Card,Quick-Play Spell Card
Mistake,Trap Card,Continuous Trap Card
Mist Wurm,Monster Card,WIND
Mist Valley Windmaster,Monster Card,WIND
Mist Valley Watcher,Monster Card,WIND
Mist Valley Thunderbird,Monster Card,WIND
Mist Valley Thunder Lord,Monster Card,WIND
Mist Valley Soldier,Monster Card,WIND
Mist Valley Falcon,Monster Card,WIND
Mist Valley Shaman,Monster Card,WIND
Mist Valley Executor,Monster Card,WIND
Mist Valley Baby Roc,Monster Card,WIND
Mist Valley Apex Avian,Monster Card,WIND
Mist Condor,Monster Card,WIND
Mist Body,Spell Card,Equip Spell Card
Mist Bird Clausolas,Monster Card,WIND
Mist Archfiend,Monster Card,DARK
Missus Radiant,Monster Card,EARTH
Missing Force,Monster Card,DARK
Mispolymerization,Trap Card,Normal Trap Card
MiSolfachord Eliteia,Monster Card,WATER
Misfortune,Spell Card,Normal Spell Card
Miscellaneousaurus,Monster Card,FIRE
Mischief of the Yokai,Trap Card,Normal Trap Card
Mirror Wall,Trap Card,Continuous Trap Card
Mirror Resonator,Monster Card,LIGHT
Mirror of Yata,Spell Card,Equip Spell Card
Mischief of the Time Goddess,Spell Card,Quick-Play Spell Card
Mischief of the Gnomes,Trap Card,Normal Trap Card
Misairuzame,Monster Card,WATER
Mirror Mail,Trap Card,Normal Trap Card
Mirror of Oaths,Trap Card,Normal Trap Card
Mirror Force Launcher,Trap Card,Continuous Trap Card
Mirror Force Dragon,Monster Card,LIGHT
Mirror of the Ice Barrier,Spell Card,Quick-Play Spell Card
Mirror Ladybug,Monster Card,LIGHT
Mirror Gate,Trap Card,Normal Trap Card
Mirror Force,Trap Card,Normal Trap Card
Mirage Tube,Spell Card,Quick-Play Spell Card
Mirage of Nightmare,Spell Card,Continuous Spell Card
Miraculous Descent,Trap Card,Continuous Trap Card
Mirage Dragon,Monster Card,LIGHT
Mirage Knight,Monster Card,LIGHT
Miraculous Rebirth,Spell Card,Quick-Play Spell Card
Miracle's Wake,Trap Card,Normal Trap Card
Miracle Synchro Fusion,Spell Card,Normal Spell Card
Miracle Locus,Trap Card,Normal Trap Card
Miracle Kids,Trap Card,Normal Trap Card
Miracle Jurassic Egg,Monster Card,EARTH
Miracle Stone,Spell Card,Continuous Spell Card
Miracle Rupture,Spell Card,Normal Spell Card
Miracle Restoring,Trap Card,Normal Trap Card
Miracle Flipper,Monster Card,LIGHT
Miracle Fusion,Spell Card,Normal Spell Card
Miracle Contact,Spell Card,Normal Spell Card
Minor Goblin Official,Trap Card,Continuous Trap Card
Mira the Star-Bearer,Monster Card,LIGHT
Minoan Centaur,Monster Card,EARTH
Miniborrel Dragon,Monster Card,DARK
Miracle Fertilizer,Spell Card,Continuous Spell Card
Miracle Dig,Spell Card,Normal Spell Card
Miniaturize,Trap Card,Continuous Trap Card
Mind Over Matter,Trap Card,Counter Trap Card
Mind on Air,Monster Card,DARK
"Minerva, the Exalted Lightsworn",Monster Card,LIGHT
"Minerva, Scholar of the Sky",Monster Card,LIGHT
"Minerva, Lightsworn Maiden",Monster Card,LIGHT
Minefieldriller,Monster Card,EARTH
Minefield Eruption,Trap Card,Normal Trap Card
Mind Master,Monster Card,LIGHT
Mind Crush,Trap Card,Normal Trap Card
Minar,Monster Card,EARTH
Mind Haxorz,Trap Card,Normal Trap Card
Mimir of the Nordic Ascendant,Monster Card,DARK
Mimimic,Monster Card,EARTH
Mind Drain,Trap Card,Continuous Trap Card
Mimikuril,Monster Card,DARK
Mind Control,Spell Card,Normal Spell Card
Milus Radiant,Monster Card,EARTH
Millennium-Eyes Restrict,Monster Card,DARK
Mimicat,Spell Card,Normal Spell Card
Millennium-Eyes Illusionist,Monster Card,DARK
Mimiclay,Spell Card,Normal Spell Card
Millennium Shield,Monster Card,EARTH
Mimicking Man-Eater Bug,Monster Card,EARTH
Millennium Scorpion,Monster Card,EARTH
Millennium Necklace (Skill Card),,
Millennium Eye (Skill Card),,
Millennium Golem,Monster Card,EARTH
Milla the Temporal Magician,Monster Card,LIGHT
Michizure,Trap Card,Normal Trap Card
Millennium Revelation,Spell Card,Continuous Spell Card
"Michael, the Arch-Lightsworn",Monster Card,LIGHT
"Michion, the Timelord",Monster Card,FIRE
Mezuki,Monster Card,EARTH
Meteor of Destruction,Spell Card,Normal Spell Card
Meteor Flare,Trap Card,Normal Trap Card
Metrognome,Monster Card,EARTH
Meteor Dragon Red-Eyes Impact,Monster Card,DARK
Meteorain,Trap Card,Normal Trap Card
Meteor Black Dragon,Monster Card,FIRE
Meteor Dragon,Monster Card,EARTH
Meteor Black Comet Dragon,Monster Card,DARK
Meteonis Drytron,Spell Card,Ritual Spell Card
Metaphys Ragnarok,Monster Card,LIGHT
Meteo the Matchless,Monster Card,DARK
Metaverse,Trap Card,Normal Trap Card
Metaphys Nephthys,Monster Card,LIGHT
Metaphys Horus,Monster Card,LIGHT
Metaphys Executor,Monster Card,LIGHT
Metamorphosed Insect Queen,Monster Card,EARTH
Metamorphortress,Trap Card,Continuous Trap Card
Metaphys Decoy Dragon,Monster Card,LIGHT
Metaphys Dimension,Trap Card,Continuous Trap Card
Metaphys Factor,Spell Card,Field Spell Card
Metamorphosis,Spell Card,Normal Spell Card
Mermail Abysstrite,Monster Card,WATER
Mermail Abyssnerei,Monster Card,WATER
Mermail Abyssmegalo,Monster Card,WATER
Mermail Abyssmander,Monster Card,WATER
Mermail Abysspike,Monster Card,WATER
Mermail Abysslung,Monster Card,WATER
Mermail Abyssocea,Monster Card,WATER
Mermail Abyssnose,Monster Card,WATER
Mermail Abysslinde,Monster Card,WATER
Mermail Abyssgaios,Monster Card,WATER
Mermail Abyssdine,Monster Card,WATER
Mermail Abyssbalaen,Monster Card,WATER
Mermail Abyssalacia,Monster Card,WATER
Mermaid Shark,Monster Card,WATER
Mermaid Knight,Monster Card,WATER
Mermail Abyssleed,Monster Card,WATER
Mermaid Archer,Monster Card,WATER
Memory of an Adversary,Trap Card,Normal Trap Card
Mental Seeker,Monster Card,EARTH
Memory Crusher,Monster Card,DARK
Memory Loss,Trap Card,Normal Trap Card
Memory Crush King,Monster Card,DARK
"Meltiel, Sage of the Sky",Monster Card,LIGHT
Melomelody the Brass Djinn,Monster Card,LIGHT
The Melody of Awakening Dragon,Spell Card,Normal Spell Card
Melffy Tag,Spell Card,Quick-Play Spell Card
Melffy Rabby,Monster Card,EARTH
Melffy Puppy,Monster Card,EARTH
Melffy Pony,Monster Card,EARTH
Melffy Playhouse,Trap Card,Normal Trap Card
Meliae of the Trees,Monster Card,EARTH
Melffy of the Forest,Monster Card,EARTH
Melodious Illusion,Trap Card,Normal Trap Card
Melchid the Four-Face Beast,Monster Card,DARK
Mektimed Blast,Trap Card,Normal Trap Card
Melffy Mommy,Monster Card,EARTH
Melffy Hide-and-Seek,Spell Card,Continuous Spell Card
Melffy Fenny,Monster Card,EARTH
Melffy Catty,Monster Card,EARTH
Meklord Fortress,Spell Card,Field Spell Card
Meklord Nucleus Infinity Core,Monster Card,DARK
Meklord Factory,Trap Card,Normal Trap Card
Meklord Deflection,Spell Card,Quick-Play Spell Card
Meklord Astro the Eradicator,Trap Card,Normal Trap Card
Meklord Astro Mekanikle,Monster Card,LIGHT
Meklord Astro Dragon Triskelion,Monster Card,DARK
Meklord Emperor Granel,Monster Card,EARTH
Meklord Astro Dragon Asterisk,Monster Card,DARK
Meklord Assembly,Spell Card,Continuous Spell Card
Meklord Army of Wisel,Monster Card,DARK
Meklord Army of Skiel,Monster Card,WIND
Meklord Army of Granel,Monster Card,EARTH
Meklord Army Deployer Obbligato,Monster Card,LIGHT
Mekk-Knight Yellow Star,Monster Card,LIGHT
Mekk-Knight Spectrum Supreme,Monster Card,LIGHT
Mekk-Knight Red Moon,Monster Card,LIGHT
Mekk-Knight Indigo Eclipse,Monster Card,LIGHT
Mekk-Knight Green Horizon,Monster Card,LIGHT
Mekk-Knight Crusadia Avramax,Monster Card,LIGHT
Mekk-Knight Blue Sky,Monster Card,LIGHT
Mekk-Knight Avram,Monster Card,LIGHT
Mekanikal Arkfiend,Monster Card,DARK
"Mei-Kou, Master of Barriers",Monster Card,LIGHT
Megistric Maginician,Monster Card,FIRE
Megazowler,Monster Card,EARTH
Megasonic Eye,Monster Card,DARK
Megamorph,Spell Card,Equip Spell Card
Megalosmasher X,Monster Card,WATER
Megalith Unformed,Spell Card,Quick-Play Spell Card
Megalith Promotion,Trap Card,Continuous Trap Card
Megalith Portal,Spell Card,Field Spell Card
Megalith Phul,Monster Card,EARTH
Megalith Phaleg,Monster Card,EARTH
Megalith Ophiel,Monster Card,EARTH
Megalith Bethor,Monster Card,EARTH
Megalith Aratron,Monster Card,EARTH
Mefist the Infernal General,Monster Card,DARK
"Medusa, Watcher of the Evil Eye",Monster Card,DARK
Medusa Worm,Monster Card,EARTH
Medium Piece Golem,Monster Card,EARTH
Medium of the Ice Barrier,Monster Card,WATER
Medallion of the Ice Barrier,Spell Card,Normal Spell Card
Meda Bat,Monster Card,DARK
Mechquipped Angineer,Monster Card,LIGHT
Mecha-Dog Marron,Monster Card,LIGHT
Mecha Sea Dragon Plesion,Monster Card,WATER
Mechanicalchaser,Monster Card,DARK
Mecha Phantom Beast Warbluran,Monster Card,WIND
Mecha Phantom Beast Turtletracer,Monster Card,WIND
Mecha Phantom Beast Tetherwolf,Monster Card,WIND
Mecha Phantom Beast Raiten,Monster Card,WIND
Mecha Phantom Beast Token,Monster Card,WIND
Mecha Phantom Beast O-Lion,Monster Card,WIND
Mecha Phantom Beast Sabre Hawk,Monster Card,WIND
Mecha Phantom Beast Megaraptor,Monster Card,WIND
Mecha Phantom Beast Kalgriffin,Monster Card,WIND
Mecha Phantom Beast Jaculuslan,Monster Card,WIND
Mecha Phantom Beast Blue Impala,Monster Card,WIND
Mecha Phantom Beast Concoruda,Monster Card,WIND
Mazera DeVille,Monster Card,DARK
Mecha Phantom Beast Coltwing,Monster Card,WIND
Mecha Phantom Beast Blackfalcon,Monster Card,WIND
Mayosenju Hitot,Monster Card,WIND
Mecha Bunny,Monster Card,EARTH
Mayakashi Winter,Spell Card,Continuous Spell Card
Mayakashi Return,Spell Card,Normal Spell Card
Mavelus,Monster Card,WIND
Mayakashi Metamorphosis,Trap Card,Normal Trap Card
Mausoleum of White,Spell Card,Field Spell Card
"Maxx 'C'",Monster Card,EARTH
Maximum Six,Monster Card,EARTH
Max Warrior,Monster Card,WIND
Mausoleum of the Emperor,Spell Card,Field Spell Card
Mathmech Multiplication,Monster Card,EARTH
Mathmech Equation,Spell Card,Normal Spell Card
Mathmech Division,Monster Card,EARTH
Matriarch of Nephthys,Monster Card,WIND
Mathmech Diameter,Monster Card,LIGHT
Mathmech Superfactorial,Trap Card,Normal Trap Card
Mathmech Induction,Trap Card,Continuous Trap Card
Mathmech Billionblade Nayuta,Spell Card,Equip Spell Card
Mataza the Zapper,Monster Card,DARK
Masterking Archfiend,Monster Card,DARK
Master's Diploman,Monster Card,DARK
Mathmech Addition,Monster Card,FIRE
Mathematician,Monster Card,EARTH
Master with Eyes of Blue,Monster Card,LIGHT
Matching Outfits,Trap Card,Normal Trap Card
Masked HERO Divine Wind,Monster Card,WIND
Masked HERO Dian,Monster Card,EARTH
Masked HERO Dark Law,Monster Card,DARK
Masked HERO Blast,Monster Card,WIND
Masked HERO Anki,Monster Card,DARK
Masked Chameleon,Monster Card,EARTH
The Masked Beast,Monster Card,DARK
Masked Beast Des Gardius,Monster Card,DARK
Mask of Weakness,Trap Card,Normal Trap Card
Mask of the Accursed,Spell Card,Equip Spell Card
The Mask of Remnants,Spell Card,Normal Spell Card
Mask of Restrict,Trap Card,Continuous Trap Card
Mask of Dispel,Spell Card,Continuous Spell Card
Mask of Brutality,Spell Card,Equip Spell Card
Mask of Darkness,Monster Card,DARK
Mask Charge,Spell Card,Normal Spell Card
Mask Change II,Spell Card,Quick-Play Spell Card
Martial Metal Marcher,Monster Card,WIND
Marshmallon Glasses,Spell Card,Continuous Spell Card
Marshmacaron,Monster Card,LIGHT
Masaki the Legendary Swordsman,Monster Card,EARTH
Mask Change,Spell Card,Quick-Play Spell Card
Maryokutai,Monster Card,WATER
Marshmallon,Monster Card,LIGHT
Marshalling Field,Trap Card,Continuous Trap Card
Marine Beast,Monster Card,WATER
Marincess Wonder Heart,Monster Card,WATER
Marmiting Captain,Monster Card,EARTH
Mark of the Rose,Spell Card,Equip Spell Card
Marincess Wave,Trap Card,Normal Trap Card
"Mariña, Princess of Sunflowers",Monster Card,FIRE
Marionette Mite,Monster Card,DARK
Marincess Snow,Trap Card,Normal Trap Card
Marincess Sea Horse,Monster Card,WATER
Marincess Sea Angel,Monster Card,WATER
Marincess Pascalus,Monster Card,WATER
Marincess Marbled Rock,Monster Card,WATER
Marincess Mandarin,Monster Card,WATER
Marincess Sea Star,Monster Card,WATER
Marincess Great Bubble Reef,Monster Card,WATER
Marincess Current,Trap Card,Normal Trap Card
Marincess Blue Slug,Monster Card,WATER
Marincess Crystal Heart,Monster Card,WATER
Marincess Crown Tail,Monster Card,WATER
Marincess Coral Anemone,Monster Card,WATER
Marincess Blue Tang,Monster Card,WATER
Marincess Cascade,Trap Card,Normal Trap Card
Marincess Battle Ocean,Spell Card,Field Spell Card
Marincess Basilalima,Monster Card,WATER
"Mariamne, the True Dracophoenix",Monster Card,WIND
Margin Trading,Spell Card,Normal Spell Card
Mare Mare,Monster Card,WATER
"Mardel, Generaider Boss of Light",Monster Card,LIGHT
March Towards Ragnarok,Spell Card,Quick-Play Spell Card
Marauding Captain,Monster Card,EARTH
Mara of the Nordic Alfar,Monster Card,DARK
Maniacal Servant,Monster Card,DARK
Manga Ryu-Ran,Monster Card,FIRE
Mandragon,Monster Card,EARTH
Mana Dragon Zirnitron,Monster Card,DARK
Man-Thro' Tro',Monster Card,EARTH
Man-Eating Treasure Chest,Monster Card,DARK
Man-eating Black Shark,Monster Card,WATER
Man-Eater Bug,Monster Card,EARTH
A Man with Wdjat,Monster Card,DARK
Man Beast of Ares,Monster Card,EARTH
Malicevorous Fork,Monster Card,DARK
"Malice, Lady of Lament",Monster Card,DARK
Malice Doll of Demise,Monster Card,DARK
Malice Dispersion,Spell Card,Quick-Play Spell Card
Man Eater,Monster Card,EARTH
Malice Ascendant,Monster Card,DARK
Malfunction,Trap Card,Counter Trap Card
Malefic Truth Dragon,Monster Card,DARK
Malevolent Nuzzler,Spell Card,Equip Spell Card
Malevolent Catastrophe,Trap Card,Normal Trap Card
Malefic World,Spell Card,Field Spell Card
Malefic Tune,Trap Card,Normal Trap Card
Malefic Territory,Spell Card,Continuous Spell Card
Malevolent Mech - Goku En,Monster Card,LIGHT
Malefic Stardust Dragon,Monster Card,DARK
Malefic Selector,Spell Card,Normal Spell Card
Malefic Rainbow Dragon,Monster Card,DARK
Malefic Parallel Gear,Monster Card,DARK
Malefic Paradox Gear,Monster Card,DARK
Malefic Red-Eyes Black Dragon,Monster Card,DARK
Malefic Paradox Dragon,Monster Card,DARK
Malefic Paradigm Dragon,Monster Card,DARK
Malefic Blue-Eyes White Dragon,Monster Card,DARK
Majesty's Pegasus,Spell Card,Field Spell Card
Majesty with Eyes of Blue,Spell Card,Quick-Play Spell Card
Maji-Gire Panda,Monster Card,EARTH
Majioshaleon,Monster Card,WATER
Major Riot,Trap Card,Normal Trap Card
Majesty's Fiend,Monster Card,LIGHT
Majiosheldon,Monster Card,WATER
"Majesty Maiden, the True Dracocaster",Monster Card,WIND
Majestic Star Dragon,Monster Card,WIND
Majestic Mech - Ohka,Monster Card,LIGHT
Majestic Red Dragon,Monster Card,DARK
Majestic Dragon,Monster Card,LIGHT
Majestic Mirage,Trap Card,Continuous Trap Card
Majestic Mech - Senku,Monster Card,LIGHT
Majestic Mech - Goryu,Monster Card,LIGHT
Majestic Absorption,Spell Card,Normal Spell Card
Majespecter Toad - Ogama,Monster Card,WIND
Majespecter Tempest,Trap Card,Counter Trap Card
Majespecter Supercell,Trap Card,Continuous Trap Card
Majespecter Cat - Nekomata,Monster Card,WIND
Majespecter Crow - Yata,Monster Card,WIND
Majespecter Storm,Spell Card,Normal Spell Card
Maiden with Eyes of Blue,Monster Card,LIGHT
Maiden of the Moonlight,Monster Card,LIGHT
Maiden of the Aqua,Monster Card,WATER
Mahunder,Monster Card,LIGHT
Maharaghi,Monster Card,EARTH
Maiden of Macabre,Monster Card,DARK
Mahjong Munia Maidens,Monster Card,WIND
"Maha Vailo, Light of the Heavens",Monster Card,LIGHT
Mahaama the Fairy Dragon,Monster Card,LIGHT
Maha Vailo,Monster Card,LIGHT
Magnetic Field,Spell Card,Field Spell Card
Magnum Shield,Spell Card,Equip Spell Card
Magnificent Machine Angel,Spell Card,Quick-Play Spell Card
Magnet Circle LV2,Spell Card,Normal Spell Card
Magnet Reverse,Spell Card,Quick-Play Spell Card
Magnetic Mosquito,Monster Card,LIGHT
Magna-Slash Dragon,Monster Card,LIGHT
Magnarokket Dragon,Monster Card,DARK
Magna Drago,Monster Card,FIRE
Magma Dragon,Monster Card,FIRE
Magistus Vritra,Spell Card,Normal Spell Card
Magistus Theurgy,Spell Card,Quick-Play Spell Card
Magistus Invocation,Spell Card,Normal Spell Card
Magikey Unlocking,Trap Card,Counter Trap Card
Magikey Spirit - Vepartu,Monster Card,WATER
Magikey Mechmusket - Batosbuster,Monster Card,DARK
Magikey Locking,Trap Card,Normal Trap Card
Magikey Fiend - Transfurlmine,Monster Card,FIRE
Magikey Dragon - Andrabime,Monster Card,WIND
Magikey Maftea,Spell Card,Normal Spell Card
Magikey Duo,Trap Card,Normal Trap Card
Magikey Mechmortar - Garesglasser,Monster Card,EARTH
Magikey Beast - Ansyalabolas,Monster Card,DARK
Magikey Battle,Spell Card,Quick-Play Spell Card
Magical Undertaker,Monster Card,DARK
Magical Scientist,Monster Card,DARK
Magical Reflect Slime,Monster Card,WATER
Magical Musketeer Starfire,Monster Card,LIGHT
Magical Musketeer Wild,Monster Card,LIGHT
Magical Musketeer Max,Monster Card,LIGHT
Magical Musketeer Doc,Monster Card,LIGHT
Magical Musketeer Kidbrave,Monster Card,LIGHT
Magical Musketeer Caspar,Monster Card,LIGHT
Magical Musketeer Calamity,Monster Card,LIGHT
Magical Musket - Last Stand,Trap Card,Counter Trap Card
Magical Musket - Desperado,Trap Card,Normal Trap Card
Magical Musket - Fiendish Deal,Trap Card,Continuous Trap Card
Magical Musket - Dancing Needle,Trap Card,Normal Trap Card
Magical Musket - Crooked Crown,Trap Card,Continuous Trap Card
Magical Musket - Cross-Domination,Spell Card,Quick-Play Spell Card
Magical Mid-Breaker Field,Spell Card,Field Spell Card
Magical Merchant,Monster Card,LIGHT
Magical Meltdown,Spell Card,Field Spell Card
Magical Exemplar,Monster Card,EARTH
Magical Dimension,Spell Card,Quick-Play Spell Card
Magical Cylinders,Trap Card,Normal Trap Card
Magical Contract Door,Spell Card,Normal Spell Card
Magical Citadel of Endymion,Spell Card,Field Spell Card
Magical Cavalry of Cxulub,Monster Card,EARTH
Magical Broker,Monster Card,DARK
